region,parent,level
flintshire,wales,2
galway,republic of ireland,2
glasgow city,scotland,2
gloucestershire,england,2
greater london,england,2
greater manchester,england,2
gwynedd,wales,2
halton,england,2
hampshire,england,2
hartlepool,england,2
herefordshire,england,2
hertfordshire,england,2
highland,scotland,2
inverclyde,scotland,2
isle of anglesey,wales,2
isle of man,isle of man,2
isle of wight,england,2
kent,england,2
kerry,republic of ireland,2
kildare,republic of ireland,2
kilkenny,republic of ireland,2
"kingston upon hull, city of",england,2
lancashire,england,2
laois,republic of ireland,2
leicester,england,2
leicestershire,england,2
leitrim,republic of ireland,2
limerick,republic of ireland,2
lincolnshire,england,2
londonderry,northern ireland,2
longford,republic of ireland,2
louth,republic of ireland,2
luton,england,2
mayo,republic of ireland,2
meath,republic of ireland,2
medway,england,2
merseyside,england,2
merthyr tydfil,wales,2
middlesbrough,england,2
midlothian,scotland,2
milton keynes,england,2
monaghan,republic of ireland,2
monmouthshire,wales,2
moray,scotland,2
na h-eileanan siar,scotland,2
neath port talbot,wales,2
newport,wales,2
norfolk,england,2
north ayrshire,scotland,2
north east lincolnshire,england,2
north lanarkshire,scotland,2
north lincolnshire,england,2
north somerset,england,2
north yorkshire,england,2
northamptonshire,england,2
northumberland,england,2
nottingham,england,2
nottinghamshire,england,2
offaly,republic of ireland,2
orkney islands,scotland,2
oxfordshire,england,2
pembrokeshire,wales,2
perth and kinross,scotland,2
peterborough,england,2
plymouth,england,2
poole,england,2
portsmouth,england,2
powys,wales,2
reading,england,2
redcar and cleveland,england,2
renfrewshire,scotland,2
"rhondda, cynon, taff",wales,2
roscommon,republic of ireland,2
rutland,england,2
scottish borders,scotland,2
shetland islands,scotland,2
shropshire,england,2
sligo,republic of ireland,2
slough,england,2
somerset,england,2
south ayrshire,scotland,2
south gloucestershire,england,2
south lanarkshire,scotland,2
south yorkshire,england,2
southampton,england,2
southend-on-sea,england,2
staffordshire,england,2
stirling,scotland,2
stockton-on-tees,england,2
stoke-on-trent,england,2
suffolk,england,2
surrey,england,2
swansea,wales,2
swindon,england,2
telford and wrekin,england,2
the vale of glamorgan,wales,2
thurrock,england,2
tipperary,republic of ireland,2
torbay,england,2
torfaen,wales,2
tyne and wear,england,2
tyrone,northern ireland,2
warrington,england,2
warwickshire,england,2
waterford,republic of ireland,2
west berkshire,england,2
west dunbartonshire,scotland,2
west lothian,scotland,2
west midlands,england,2
west sussex,england,2
west yorkshire,england,2
westmeath,republic of ireland,2
wexford,republic of ireland,2
wicklow,republic of ireland,2
wiltshire,england,2
windsor and maidenhead,england,2
wokingham,england,2
worcestershire,england,2
wrexham,wales,2
york,england,2
aberdeen city,aberdeen city,0
aberdeenshire,aberdeenshire,0
angus,angus,0
antrim,antrim,0
argyll and bute,argyll and bute,0
armagh,armagh,0
bath and ne somerset,bath and ne somerset,0
bedfordshire,bedfordshire,0
blackburn with darwen,blackburn with darwen,0
blackpool,blackpool,0
blaenau gwent,blaenau gwent,0
bournemouth,bournemouth,0
bracknell forest,bracknell forest,0
bridgend,bridgend,0
brighton and hove,brighton and hove,0
"bristol, city of","bristol, city of",0
buckinghamshire,buckinghamshire,0
caerphilly,caerphilly,0
cambridgeshire,cambridgeshire,0
cardiff,cardiff,0
carlow,carlow,0
carmarthenshire,carmarthenshire,0
cavan,cavan,0
ceredigion,ceredigion,0
cheshire,cheshire,0
city of edinburgh,city of edinburgh,0
clackmannanshire,clackmannanshire,0
clare,clare,0
conwy,conwy,0
cork,cork,0
cornwall and isles of scilly,cornwall and isles of scilly,0
cumbria,cumbria,0
darlington,darlington,0
denbighshire,denbighshire,0
derby,derby,0
derbyshire,derbyshire,0
devon,devon,0
donegal,donegal,0
dorset,dorset,0
down,down,0
dublin,dublin,0
dumfries and galloway,dumfries and galloway,0
dundee city,dundee city,0
durham,durham,0
east ayrshire,east ayrshire,0
east dunbartonshire,east dunbartonshire,0
east lothian,east lothian,0
east renfrewshire,east renfrewshire,0
east riding of yorkshire,east riding of yorkshire,0
east sussex,east sussex,0
essex,essex,0
falkirk,falkirk,0
fermanagh,fermanagh,0
fife,fife,0
flintshire,flintshire,0
galway,galway,0
glasgow city,glasgow city,0
gloucestershire,gloucestershire,0
greater london,greater london,0
greater manchester,greater manchester,0
gwynedd,gwynedd,0
halton,halton,0
hampshire,hampshire,0
hartlepool,hartlepool,0
herefordshire,herefordshire,0
hertfordshire,hertfordshire,0
highland,highland,0
inverclyde,inverclyde,0
isle of anglesey,isle of anglesey,0
isle of man,isle of man,0
isle of wight,isle of wight,0
kent,kent,0
kerry,kerry,0
kildare,kildare,0
kilkenny,kilkenny,0
"kingston upon hull, city of","kingston upon hull, city of",0
lancashire,lancashire,0
laois,laois,0
leicester,leicester,0
leicestershire,leicestershire,0
leitrim,leitrim,0
limerick,limerick,0
lincolnshire,lincolnshire,0
londonderry,londonderry,0
longford,longford,0
louth,louth,0
luton,luton,0
mayo,mayo,0
meath,meath,0
medway,medway,0
merseyside,merseyside,0
merthyr tydfil,merthyr tydfil,0
middlesbrough,middlesbrough,0
midlothian,midlothian,0
milton keynes,milton keynes,0
monaghan,monaghan,0
monmouthshire,monmouthshire,0
moray,moray,0
na h-eileanan siar,na h-eileanan siar,0
neath port talbot,neath port talbot,0
newport,newport,0
norfolk,norfolk,0
north ayrshire,north ayrshire,0
north east lincolnshire,north east lincolnshire,0
north lanarkshire,north lanarkshire,0
north lincolnshire,north lincolnshire,0
north somerset,north somerset,0
north yorkshire,north yorkshire,0
northamptonshire,northamptonshire,0
northumberland,northumberland,0
nottingham,nottingham,0
nottinghamshire,nottinghamshire,0
offaly,offaly,0
orkney islands,orkney islands,0
oxfordshire,oxfordshire,0
pembrokeshire,pembrokeshire,0
perth and kinross,perth and kinross,0
peterborough,peterborough,0
plymouth,plymouth,0
poole,poole,0
portsmouth,portsmouth,0
powys,powys,0
reading,reading,0
redcar and cleveland,redcar and cleveland,0
renfrewshire,renfrewshire,0
"rhondda, cynon, taff","rhondda, cynon, taff",0
roscommon,roscommon,0
rutland,rutland,0
scottish borders,scottish borders,0
shetland islands,shetland islands,0
shropshire,shropshire,0
sligo,sligo,0
slough,slough,0
somerset,somerset,0
south ayrshire,south ayrshire,0
south gloucestershire,south gloucestershire,0
south lanarkshire,south lanarkshire,0
south yorkshire,south yorkshire,0
southampton,southampton,0
southend-on-sea,southend-on-sea,0
staffordshire,staffordshire,0
stirling,stirling,0
stockton-on-tees,stockton-on-tees,0
stoke-on-trent,stoke-on-trent,0
suffolk,suffolk,0
surrey,surrey,0
swansea,swansea,0
swindon,swindon,0
telford and wrekin,telford and wrekin,0
the vale of glamorgan,the vale of glamorgan,0
thurrock,thurrock,0
tipperary,tipperary,0
torbay,torbay,0
torfaen,torfaen,0
tyne and wear,tyne and wear,0
tyrone,tyrone,0
warrington,warrington,0
warwickshire,warwickshire,0
waterford,waterford,0
west berkshire,west berkshire,0
west dunbartonshire,west dunbartonshire,0
west lothian,west lothian,0
west midlands,west midlands,0
west sussex,west sussex,0
west yorkshire,west yorkshire,0
westmeath,westmeath,0
wexford,wexford,0
wicklow,wicklow,0
wiltshire,wiltshire,0
windsor and maidenhead,windsor and maidenhead,0
wokingham,wokingham,0
worcestershire,worcestershire,0
wrexham,wrexham,0
york,york,0
